name;epidCode;growthRate;region;archived;externalID
SK Brandenburg a.d.Havel;BRB;0;Brandenburg;0;11012051
SK Cottbus;CB;0;Brandenburg;0;11012052
SK Frankfurt (Oder);FF;0;Brandenburg;0;11012053
SK Potsdam;P;0;Brandenburg;0;11012054
LK Barnim;BAR;0;Brandenburg;0;11012060
LK Dahme-Spreewald;LDS;0;Brandenburg;0;11012061
LK Elbe-Elster;EE;0;Brandenburg;0;11012062
LK Havelland;HVL;0;Brandenburg;0;11012063
LK Märkisch-Oderland;MOL;0;Brandenburg;0;11012064
LK Oberhavel;OHV;0;Brandenburg;0;11012065
LK Oberspreewald-Lausitz;OSL;0;Brandenburg;0;11012066
LK Oder-Spree;LOS;0;Brandenburg;0;11012067
LK Ostprignitz-Ruppin;OPR;0;Brandenburg;0;11012068
LK Potsdam-Mittelmark;PM;0;Brandenburg;0;11012069
LK Prignitz;PR;0;Brandenburg;0;11012070
LK Spree-Neiße;SPN;0;Brandenburg;0;11012071
LK Teltow-Fläming;TF;0;Brandenburg;0;11012072
LK Uckermark;UM;0;Brandenburg;0;11012073
SK Greifswald;HGW;0;Mecklenburg-Vorpommern;0;11013001
SK Neubrandenburg;NB;0;Mecklenburg-Vorpommern;0;11013002
SK Rostock;HRO;0;Mecklenburg-Vorpommern;0;11013003
SK Schwerin;SN;0;Mecklenburg-Vorpommern;0;11013004
SK Stralsund;HST;0;Mecklenburg-Vorpommern;0;11013005
SK Wismar;HWI;0;Mecklenburg-Vorpommern;0;11013006
LK Bad Doberan;ROS;0;Mecklenburg-Vorpommern;0;11013051
LK Demmin;DM;0;Mecklenburg-Vorpommern;0;11013052
LK Güstrow;GÜ;0;Mecklenburg-Vorpommern;0;11013053
LK Ludwigslust;SN;0;Mecklenburg-Vorpommern;0;11013054
LK Mecklenburg-Strelitz;NB;0;Mecklenburg-Vorpommern;0;11013055
LK Müritz;RM;0;Mecklenburg-Vorpommern;0;11013056
LK Nordvorpommern;NVP;0;Mecklenburg-Vorpommern;0;11013057
LK Nordwestmecklenburg (alt);WIS;0;Mecklenburg-Vorpommern;0;11013058
LK Ostvorpommern;OVP;0;Mecklenburg-Vorpommern;0;11013059
LK Parchim;SN;0;Mecklenburg-Vorpommern;0;11013060
LK Rügen;RÜG;0;Mecklenburg-Vorpommern;0;11013061
LK Uecker-Randow;UER;0;Mecklenburg-Vorpommern;0;11013062
LK Mecklenburgische Seenplatte;MSE;0;Mecklenburg-Vorpommern;0;11013071
LK Rostock;LRO;0;Mecklenburg-Vorpommern;0;11013072
LK Vorpommern-Rügen;VR;0;Mecklenburg-Vorpommern;0;11013073
LK Nordwestmecklenburg;NWM;0;Mecklenburg-Vorpommern;0;11013074
LK Vorpommern-Greifswald;VG;0;Mecklenburg-Vorpommern;0;11013075
LK Ludwigslust-Parchim;LUP;0;Mecklenburg-Vorpommern;0;11013076
SK Chemnitz;C;0;Sachsen;0;11014511
LK Erzgebirgskreis;ERZ;0;Sachsen;0;11014521
LK Mittelsachsen;FG;0;Sachsen;0;11014522
LK Vogtlandkreis;V;0;Sachsen;0;11014523
LK Zwickau;Z;0;Sachsen;0;11014524
SK Dresden;DD;0;Sachsen;0;11014612
LK Bautzen;BZ;0;Sachsen;0;11014625
LK Görlitz;GR;0;Sachsen;0;11014626
LK Meißen;MEI;0;Sachsen;0;11014627
LK Sächsische Schweiz-Osterzgebirge;PIR;0;Sachsen;0;11014628
SK Leipzig;L;0;Sachsen;0;11014713
LK Leipzig;L;0;Sachsen;0;11014729
LK Nordsachsen;TDO;0;Sachsen;0;11014730
SK Dessau-Roßlau;DE;0;Sachsen-Anhalt;0;11015001
SK Halle;HAL;0;Sachsen-Anhalt;0;11015002
SK Magdeburg;MD;0;Sachsen-Anhalt;0;11015003
LK Altmarkkreis Salzwedel;SAW;0;Sachsen-Anhalt;0;11015081
LK Anhalt-Bitterfeld;BTF;0;Sachsen-Anhalt;0;11015082
LK Börde;BÖ;0;Sachsen-Anhalt;0;11015083
LK Burgenlandkreis;BLK;0;Sachsen-Anhalt;0;11015084
LK Harz;HZ;0;Sachsen-Anhalt;0;11015085
LK Jerichower Land;JL;0;Sachsen-Anhalt;0;11015086
LK Mansfeld-Südharz;MSH;0;Sachsen-Anhalt;0;11015087
LK Saalekreis;SK;0;Sachsen-Anhalt;0;11015088
LK Salzlandkreis;SLK;0;Sachsen-Anhalt;0;11015089
LK Stendal;SDL;0;Sachsen-Anhalt;0;11015090
LK Wittenberg;WB;0;Sachsen-Anhalt;0;11015091
SK Erfurt;EF;0;Thüringen;0;11016051
SK Gera;G;0;Thüringen;0;11016052
SK Jena;J;0;Thüringen;0;11016053
SK Suhl;SHL;0;Thüringen;0;11016054
SK Weimar;WE;0;Thüringen;0;11016055
SK Eisenach;EA;0;Thüringen;0;11016056
LK Eichsfeld;EIC;0;Thüringen;0;11016061
LK Nordhausen;NDH;0;Thüringen;0;11016062
LK Wartburgkreis;WAK;0;Thüringen;0;11016063
LK Unstrut-Hainich-Kreis;UH;0;Thüringen;0;11016064
LK Kyffhäuserkreis;KYF;0;Thüringen;0;11016065
LK Schmalkalden-Meiningen;SM;0;Thüringen;0;11016066
LK Gotha;GTH;0;Thüringen;0;11016067
LK Sömmerda;SÖM;0;Thüringen;0;11016068
LK Hildburghausen;SHL;0;Thüringen;0;11016069
LK Ilm-Kreis;SHL;0;Thüringen;0;11016070
LK Weimarer Land;WE;0;Thüringen;0;11016071
LK Sonneberg;SON;0;Thüringen;0;11016072
LK Saalfeld-Rudolstadt;SLF;0;Thüringen;0;11016073
LK Saale-Holzland-Kreis;SHK;0;Thüringen;0;11016074
LK Saale-Orla-Kreis;SOK;0;Thüringen;0;11016075
LK Greiz;GRZ;0;Thüringen;0;11016076
LK Altenburger Land;ABG;0;Thüringen;0;11016077
