name,epidCode,growthRate,region,archived,externalID,uuid
LK Marburg-Biedenkopf,MR,0,Hessen,0,11006534,3cec0bca-18d3-5266-9ca4-b1d4bc62baef
LK Vogelsbergkreis,VB,0,Hessen,0,11006535,68304228-c547-5e71-9cde-283fc8e9ce38
SK Kassel,KS,0,Hessen,0,11006611,04283181-131f-5087-ace8-59f0f9f9a691
LK Fulda,FD,0,Hessen,0,11006631,df01bab5-1a84-53b6-8bf8-20cc77091e85
LK Hersfeld-Rotenburg,HEF,0,Hessen,0,11006632,cff91499-2cef-5075-b3a3-9144fd5d3494
LK Kassel,WOH,0,Hessen,0,11006633,85efdd97-b046-5cd1-bd7e-c504da35f06e
LK Schwalm-Eder-Kreis,HR,0,Hessen,0,11006634,f16deb0c-0c79-525c-8510-08855a1c02b5
LK Waldeck-Frankenberg,WA,0,Hessen,0,11006635,68d710ce-4188-55a7-a26c-3a4a20e69727
LK Werra-Meißner-Kreis,ESW,0,Hessen,0,11006636,afef1f9d-e6b9-5c10-8296-e0d6b0045428
SK Koblenz,KO,0,Rheinland-Pfalz,0,11007111,c75446bc-1833-5626-8e69-424dd5f4d0b9
LK Ahrweiler,AW,0,Rheinland-Pfalz,0,11007131,bffd5e09-5ff1-5ef5-9f52-7a99e37f3810
LK Altenkirchen,AK,0,Rheinland-Pfalz,0,11007132,5d980444-e575-5d13-9465-1b9296b0cb45
LK Bad Kreuznach,KH,0,Rheinland-Pfalz,0,11007133,a7a876fd-d400-54e8-9f8d-fc43c9eec574
LK Birkenfeld,BIR,0,Rheinland-Pfalz,0,11007134,bb687de5-65c1-5452-a100-8c4ba6a6d453
LK Cochem-Zell,COC,0,Rheinland-Pfalz,0,11007135,5f7f75cf-8bb6-5f0b-aafa-f24bba0c2d2a
LK Mayen-Koblenz,MYK,0,Rheinland-Pfalz,0,11007137,8b15edc2-498c-5441-b165-a3713202e880
LK Neuwied,NR,0,Rheinland-Pfalz,0,11007138,8ef3312d-489c-5b74-a712-0e0c92070a7a
LK Rhein-Hunsrück-Kreis,SIM,0,Rheinland-Pfalz,0,11007140,b592c222-8c84-5bb7-9df6-7e58b58c9d60
LK Rhein-Lahn-Kreis,EMS,0,Rheinland-Pfalz,0,11007141,a8ef272f-61df-59f3-a694-9e0e8f831fc7
LK Westerwaldkreis,WW,0,Rheinland-Pfalz,0,11007143,4e126c9f-67d8-5969-ba1e-9616b10265b6
SK Trier,TR,0,Rheinland-Pfalz,0,11007211,fc339309-a465-5ece-b207-7b422c229aa7
LK Bernkastel-Wittlich,WIL,0,Rheinland-Pfalz,0,11007231,335a7431-5e8a-57e3-ba57-1e53594906e8
LK Bitburg-Prüm,BIT,0,Rheinland-Pfalz,0,11007232,1e052509-3ed2-54a1-8a28-96676d84a776
LK Vulkaneifel,DAU,0,Rheinland-Pfalz,0,11007233,50181d0c-4bba-543e-a824-7da9aca6b538
LK Trier-Saarburg,TR,0,Rheinland-Pfalz,0,11007235,8e7b210f-0f51-5205-90b2-fb257364244b
SK Frankenthal,FT,0,Rheinland-Pfalz,0,11007311,5e5c1df8-3dbb-5dd6-b30e-5aad13a3ae07
SK Kaiserslautern,KL,0,Rheinland-Pfalz,0,11007312,66427bf8-42d9-58f3-99c5-c2da8c4bf609
SK Landau i.d.Pfalz,LD,0,Rheinland-Pfalz,0,11007313,3bc23c21-d197-5d22-a0ac-07934299e191
SK Ludwigshafen,LU,0,Rheinland-Pfalz,0,11007314,76ba8b85-861a-5498-9114-3cb9b84223d4
SK Mainz,MZ,0,Rheinland-Pfalz,0,11007315,7ea5d684-5b1f-55c5-9517-30b4f0c8ab5e
SK Neustadt a.d.Weinstraße,NW,0,Rheinland-Pfalz,0,11007316,947c2df6-6126-514f-b9a4-f814534bfca5
SK Pirmasens,PS,0,Rheinland-Pfalz,0,11007317,fae74ae3-bfa7-547e-938d-aa3609bac27e
SK Speyer,SP,0,Rheinland-Pfalz,0,11007318,e8adf8f4-8bf5-594e-ab7a-5bab8c235973
SK Worms,WO,0,Rheinland-Pfalz,0,11007319,75d941ee-31a1-5969-a9c6-9382eb5bfd46
SK Zweibrücken,ZW,0,Rheinland-Pfalz,0,11007320,b6dc3a24-2693-53f5-852b-db61e94e95bd
LK Alzey-Worms,AZ,0,Rheinland-Pfalz,0,11007331,83aa1423-a145-5747-b2e3-3086b291a571
LK Bad Dürkheim,DÜW,0,Rheinland-Pfalz,0,11007332,366ae585-18f4-5572-aed0-a4767e1f9ecf
LK Donnersbergkreis,KIB,0,Rheinland-Pfalz,0,11007333,88dc6a6f-0505-5f9e-9d7b-44a59963741b
LK Germersheim,GER,0,Rheinland-Pfalz,0,11007334,8d855321-62bb-5536-aef7-e47bd4a136b1
LK Kaiserslautern,KL,0,Rheinland-Pfalz,0,11007335,a59e997e-81de-59a5-97d9-17897a6da766
LK Kusel,KUS,0,Rheinland-Pfalz,0,11007336,cc97241a-5582-5ff5-b31f-4d3456f730f5
LK Südliche Weinstraße,SÜW,0,Rheinland-Pfalz,0,11007337,e93097d4-16c8-58db-91f5-cf8fe0f44cfb
LK Rhein-Pfalz-Kreis,LU,0,Rheinland-Pfalz,0,11007338,73932a7e-f884-528a-92d9-70fb59fa5501
LK Mainz-Bingen,MZ,0,Rheinland-Pfalz,0,11007339,5cde96f6-d33c-5f20-9dbe-4ee35a816c76
LK Südwestpfalz,PS,0,Rheinland-Pfalz,0,11007340,7bdcd70f-3f71-518c-93c1-d7fc12dec430
SK Stuttgart,S,0,Baden-Württemberg,0,11008111,6144a817-f814-5fef-abbf-504a442d78a3
LK Böblingen,BB,0,Baden-Württemberg,0,11008115,3cc899ba-8b7a-5d32-99d2-d3dfa6d386a1
LK Esslingen,ES,0,Baden-Württemberg,0,11008116,5f2dc769-7715-5d10-9079-9ab92c3b77f6
LK Göppingen,GP,0,Baden-Württemberg,0,11008117,badedd14-87c4-5c7e-850e-67e7c43c048f
LK Ludwigsburg,LB,0,Baden-Württemberg,0,11008118,66dc90ba-67c9-5a5d-83a8-492686ebae8e
LK Rems-Murr-Kreis,WN,0,Baden-Württemberg,0,11008119,a64d2647-5a62-5b2c-8ff6-d0aec9c44639
SK Heilbronn,HN,0,Baden-Württemberg,0,11008121,b976b4a4-18a4-518a-8d50-4bd76bfc7244
LK Heilbronn,HN,0,Baden-Württemberg,0,11008125,ce19be1f-10a1-5fc6-bd4a-5b96f3bef168
LK Hohenlohekreis,KÜN,0,Baden-Württemberg,0,11008126,eaa8feae-574c-5770-af5d-f81052536d95
LK Schwäbisch Hall,SHA,0,Baden-Württemberg,0,11008127,84ad1198-d095-5eb2-a8bc-122329cbb244
LK Main-Tauber-Kreis,TBB,0,Baden-Württemberg,0,11008128,00bc1d31-ad54-5a11-891f-14feb99846e3
LK Heidenheim,HDH,0,Baden-Württemberg,0,11008135,195e2147-b373-5a8e-aa40-61b5f13f26a4
LK Ostalbkreis,AA,0,Baden-Württemberg,0,11008136,efd1cb63-6877-5eb2-9a15-e0d3b16efc5d
SK Baden-Baden,BAD,0,Baden-Württemberg,0,11008211,ce3257e8-14d8-520a-9c60-eb23b15a620c
SK Karlsruhe,KA,0,Baden-Württemberg,0,11008212,5d31e68b-21ef-5f18-a90b-08fe9254d1ec
LK Karlsruhe,KA,0,Baden-Württemberg,0,11008215,b1407e58-8427-5edf-9703-305f319706cf
